
100 	0.359476
600 	2.06746
1100 	4.03163
1600 	5.87174
2100 	8.14808
2600 	9.13786
3100 	11.8952
3600 	14.7016
4100 	17.9953
4600 	17.652
5100 	20.451
5600 	24.4128
6100 	24.4986
6600 	28.9863
7100 	31.1704
7600 	28.2605
8100 	28.9435
8600 	31.6439
9100 	34.5522
9600 	38.9972
10100 	44.3026
10600 	40.5511
11100 	41.6777
11600 	43.3299
12100 	46.9662
12600 	49.1966
13100 	52.3573
13600 	50.8802
14100 	54.0531
14600 	55.588
15100 	55.3413
15600 	59.3046
16100 	58.3294
16600 	60.2372
17100 	61.2972
17600 	66.4798
18100 	66.8721
18600 	68.7814
19100 	70.1537
19600 	71.3708
20100 	77.0548
20600 	79.7661
21100 	83.6239
21600 	83.0806
22100 	85.6856
22600 	84.973
23100 	92.0002
23600 	90.5046
24100 	93.0609
24600 	98.2001
25100 	95.5678
25600 	98.7393
26100 	99.219
26600 	104.485
27100 	102.833
27600 	103.278
28100 	105.819
28600 	108.879
29100 	105.957
29600 	110.091
30100 	116.187
30600 	117.359
31100 	118.941
31600 	118.18
32100 	118.286
32600 	127.396
33100 	135.71
33600 	132.206
34100 	137.878
34600 	139.543
35100 	148.573
35600 	142.787
36100 	139.703
36600 	137.339
37100 	140.501
37600 	139.635
38100 	148.932
38600 	143.427
39100 	147.989
39600 	149.406
40100 	152.818
40600 	159.515
41100 	153.382
41600 	156.227
42100 	151.822
42600 	152.18
43100 	161.701
43600 	176.045
44100 	169.284
44600 	181.319
45100 	193.959
45600 	192.025
46100 	188.258
